,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
278,aws-sdk-php-silex,5,0,44,[],Version 2.1.0,82
279,sagemaker-sparkml-serving-container,5,4,46,"['machine-learning', 'spark', 'pipeline', 'sparkml', 'inference', 'serving', 'sagemaker', 'mleap', 'inference-pipeline', 'mleap-serialized-spark']",,45
280,aws-sigv4-auth-cassandra-gocql-driver-plugin,1,0,14,"['aws', 'cassandra', 'cql', 'sigv4', 'gocql', 'aws-sigv4', 'sigv4client', 'amazon-keyspaces', 'keyspaces', 'gocql-driver']",,5
281,connect-rtc-js,10,12,67,[],Deprecating plan-b SDP,66
282,sagemaker-huggingface-inference-toolkit,2,0,79,[],v2.0.0 New Modalities Speech & Vision,62
283,aws-greengrass-core-sdk-python,1,2,10,[],v1.6.0,55
284,sagemaker-scikit-learn-extension,3,2,59,[],v2.5.0,34
285,aws-xray-dotnet-agent,6,0,31,[],Release 2.10.0-beta.1,19
286,ec2-macos-system-monitor,1,0,5,[],First GitHub Release,7
287,amazon-managed-service-for-prometheus-roadmap,1,0,7,[],,28
288,aws-eb-glassfish-dockerfiles,1,2,7,[],,32
289,aws-nitro-enclaves-sdk-bootstrap,1,0,14,[],,7
290,amazon-managed-grafana-roadmap,1,0,5,[],,21
291,containers-roadmap,7,0,184,"['kubernetes', 'aws', 'roadmap', 'containers', 'ecs', 'ecr', 'fargate', 'eks']",,4560
292,chrony-candm,1,0,7,[],,3
293,amazon-neptune-gremlin-dotnet-sigv4,1,1,9,"['aws-neptune', 'amazon-neptune']",Amazon Neptune Gremlin .NET SigV4 v1.0,4
294,aws-greengrass-core-sdk-js,2,4,19,[],v1.7.0,15
295,ec2-macos-utils,2,0,26,[],1.0.0,5
296,base64io-python,1,0,83,[],1.0.3 -- 2018-12-10,40
297,aws-toolkit-eclipse,7,1,111,"['java', 'aws', 'cloudformation', 'aws-lambda', 'ec2', 'eclipse', 'dynamodb', 'codecommit', 'hacktoberfest']",AWS Toolkit for Eclipse: v201805311643 Release,269
298,git-remote-codecommit,1,1,36,[],,199
299,aws-app-mesh-roadmap,1,0,49,[],,330
300,efawin,2,0,1,['aws'],Initial version,2
301,ec2-spot-instances-integrations-roadmap,1,0,15,[],,90
302,sagemaker-example-notebooks-testing,1,0,261,"['python', 'aws', 'machine-learning', 'deep-learning', 'continuous-integration', 'ci', 'jupyter-notebook', 'cdk', 'sagemaker']",,10
303,amazon-neptune-sparql-java-sigv4,10,0,44,"['rdf4j', 'sparql-client', 'aws-neptune', 'amazon-neptune']",Amazon Neptune SPARQL Java Sigv4 v2.4.0,15
304,aws-neuron-tensorflow,1,0,830,[],,4
305,aws-sdk-ruby-record,17,1,354,[],Release v2.6.0 - 2021-05-13,294
306,obs-cdi,1,0,4,[],,4
307,amazon-codeguru-profiler-python-agent,3,0,112,"['python', 'aws', 'profiler', 'codeguru']",1.2.4 (layer_v11),8
308,aws-sigv4-auth-cassandra-python-driver-plugin,1,0,11,"['aws', 'cassandra', 'cql', 'sigv4', 'aws-sigv4', 'sigv4client', 'amazon-keyspaces', 'keyspaces', 'datastax-python-driver']",,3
309,aws-rndr-engine-for-openssl,1,0,6,[],,0
310,aws-proton-public-roadmap,1,0,13,[],,182
311,elastic-load-balancing-tools,1,0,87,[],,248
312,aws-sessionstore-dynamodb-ruby,3,0,41,[],Release v2.0.1 - 2020-11-16,68
313,aws-neuron-runtime-proto,1,0,7,[],,6
314,aws-sdk-ruby-release-tools,1,0,18,[],,4
315,opsworks-cookbooks,8,56,947,[],,1052
316,aws-kinesisanalytics-runtime,2,1,17,[],,7
317,aws-greengrass-core-sdk-java,1,0,15,[],v1.5.0,7
318,apprunner-roadmap,1,0,4,"['aws', 'containers', 'apprunner']",,212
319,aws-refcocog-adv,1,1,5,[],,18
320,aws-deep-learning-containers-utils,2,0,37,[],,5
321,amazon-keyspaces-cql-to-cfn-converter,1,0,5,"['aws', 'cassandra', 'cql', 'amazon-keyspaces', 'keyspaces']",,6
322,.github,1,1,12,[],,3
323,http-desync-guardian,1,0,44,"['http-request-smuggling', 'http-smuggling', 'http-desync']",,218
324,ec2-image-builder-roadmap,1,0,3,"['aws', 'roadmap', 'ec2', 'image-builder']",,30
325,aws-neuron-driver,1,0,6,[],,5
326,aws-swf-build-tools,2,1,9,[],,9
327,aws-kinesisanalytics-flink-connectors,2,1,40,[],2.0.0,10
328,sagemaker-mxnet-training-toolkit,1,0,237,"['docker', 'aws', 'mxnet', 'sagemaker']",v4.3.0,59
329,elastic-beanstalk-roadmap,1,0,8,[],,257
330,ec2-hibernate-linux-agent,2,3,16,[],,31
331,amazon-eks-diag,1,1,4,[],,6
332,sagemaker-containers,3,0,254,[],v2.8.6.post2,174
333,amazon-elastic-inference-tools,2,0,37,[],,15
334,ec2-hibernate-windows-agent,1,1,8,[],,13
335,aws-auto-scaling-custom-resource,2,0,72,"['aws', 'custom-resources', 'autoscaling', 'application-autoscaling']",,79
336,aws-greengrass-core-sdk-c,1,0,4,[],v1.1.0,24
337,amazon-cognito-dotnet,1,0,91,[],,8
338,aws-sdk-js-dist-tools,2,0,110,[],,6
339,aws-sdk-mobile-analytics-js,3,0,19,[],Release v0.9.2,80
340,aws-iot-device-sdk-arduino-yun,1,1,24,[],v2.2.0,157
341,amazon-ecs-cluster-state-service,1,1,9,[],,14
342,aws-eb-python-dockerfiles,1,1,1,[],,58
343,aws-sdk-java-archetype,1,0,6,[],,14
