,ProjectName,BranchNum,PullRequestNum,CommitNum,Topics,ReleaseInfo,star
131,otter,6,9,154,[],v4.2.18,7330
132,weex,4,5,"12,039","['android', 'ios', 'mobile', 'sdk', 'web', 'weex']",0.30.0,17953
133,ai-matrix,13,9,299,[],,170
134,f2etest,13,8,166,"['webdriver', 'guacamole', 'autotest', 'gui-testing', 'autotest-framework', 'f2etest', 'karma-f2etest']",,3458
135,MNNKit,5,1,67,[],MNNKitCore 0.0.3,565
136,euler,4,2,8,"['deep-learning', 'graph', 'network-embedding', 'random-walk', 'graph-convolutional-networks', 'gcn', 'node2vec', 'graph-embedding', 'graph-learning', 'graphsage', 'graph-neural-networks', 'ggnn']",euler 2.0 release,2789
137,lowcode-datasource,2,4,10,"['alibaba', 'low-code', 'lowcode']",,32
138,CNStackCommunityEdition,2,1,25,[],,33
139,AlibabaCloud.TairSDK,1,0,3,[],,3
140,one-java-agent,7,4,72,[],,305
141,innodb-java-reader,5,3,129,"['mysql', 'java', 'heatmap', 'mysql-database', 'mysqldump', 'command-line-tool', 'innodb']",v1.0.10,318
142,aliyun-spring-boot,2,2,85,"['spring-boot', 'aliyun-oss', 'aliyun', 'spring-boot-starters', 'aliyun-sms', 'aliyun-rds', 'aliyun-schedulerx', 'aliyun-redis']",v1.0.0,348
143,rally-tracks,14,0,261,[],,2
144,cobarclient,8,4,20,[],,644
145,alist,16,2,396,"['react', 'list', 'form']",,972
146,code-data-share-for-python,1,0,12,[],Version 0.0.1,16
147,online-test-platform,9,8,12,[],,175
148,intelligent-test-platform,4,6,44,[],,428
149,alimama-common-performance-platform-acp,5,4,40,[],,199
150,eCommerceSearchBench,3,2,6,"['benchmark', 'e-commerce', 'e-commerce-search-benchmark']",,31
151,GaiaSketch,1,0,6,"['sketch-plugin', 'sketch-to-code', 'sketch-measure']",0.1.0,28
152,CicadaPlayer,8,1,"1,603","['ffmpeg', 'webassembly', 'dash', 'mediaplayer', 'widevine', 'fairplay', 'll-hls']",v0.4.4,521
153,coobjc,9,5,116,"['c', 'swift', 'ios', 'generator', 'objective-c', 'actor-model', 'asm', 'actor', 'await', 'arm64', 'objc', 'coroutine-library', 'coroutine', 'tuple', 'await-promises']",,3963
154,lightweight-neural-architecture-search,2,0,4,"['object-detection', 'nas', 'automl', 'zennas', 'maedet', 'zero-cost-nas', 'training-free-nas']",,67
155,compileflow-idea-designer,3,1,71,"['java', 'flow', 'idea-plugin', 'alibaba', 'bpmn2']",1.0.8版本发布,208
156,mobileperf,1,0,23,"['android', 'cpu', 'adb', 'fps', 'memory', 'python3', 'logcat', 'performance-testing', 'monkey-test']",,526
157,alibabacloud-tairjedis-sdk,10,0,45,"['redis', 'module', 'tair']",v2.3.0,56
158,TairString,4,0,23,"['redis', 'module', 'string', 'cad', 'cas']",,92
159,virtual-environment,2,0,270,"['kubernetes', 'service-mesh', 'isolation', 'istio']",v0.6.0,178
160,general-scene-interface,14,0,324,['web3d'],,9
161,power_image_ext,4,0,4,[],,11
162,nginx-tfs,3,3,16,[],,256
163,LuaViewSDK,3,9,"1,827","['javascript', 'android', 'playground', 'ios', 'mobile', 'react-native', 'lua', 'cross-platform', 'script', 'nativescript', 'crossplatform', 'taobao', 'alibaba', 'weex', 'tmall', 'luaview']",5月份版本,3651
164,self-augmentation-strategy,1,0,5,[],,2
165,acqdp,1,0,27,[],,136
166,uirecorder,3,2,327,"['nodejs', 'webdriver', 'selenium', 'recorder', 'uitest']",,1954
167,easydispatch,2,0,55,"['scheduling', 'real-time-scheduling', 'field-service-dispatching']",,19
168,SimCSE-with-CARDS,1,0,4,"['nlp', 'language-model', 'sentence-embeddings']",,8
169,Curvature-Learning-Framework,1,0,19,"['tensorflow', 'geometric-deep-learning', 'hyperbolic', 'non-euclidean-deep-learning']",,116
170,alibaba-flink-connectors,3,2,15,[],,85
171,timeline,3,0,83,[],,15
172,collabobot,2,0,42,[],,45
173,node-hbase-client,14,15,238,[],0.1.11,280
174,Deep-Vision,1,0,3,[],,25
175,ClickSEG,2,0,3,[],,7
176,cloud-kernel,21,2,"798,168","['linux', 'kernel', 'os', 'ecs', 'aliyun', 'alibabacloud', 'aliyunlinux', 'alibabacloudlinux']",Cloud Kernel Release 22,362
177,spring-velocity-support,2,2,19,"['java', 'template-engine', 'spring', 'velocity', 'spring-framework']",,23
178,Ribut,1,0,33,"['android', 'plugin', 'mock', 'ios', 'objective-c', 'tool', 'network', 'sandbox', 'debug']",,37
179,macaca,1,0,41,"['android', 'testing', 'ios', 'automation', 'hybrid-apps', 'uitest', 'macaca']",,3069
180,GaiaMeasure,1,0,2,['sketch-measure'],,2
181,camera-proxy,4,0,60,[],,15
182,gaia-motion-curve,2,0,10,[],0.1.1,12
183,FastNN,2,0,15,"['deep-learning', 'models', 'distributed', 'pai']",,78
184,dragonwell8_jdk,8,2,"15,224",[],,100
185,dragonwell8_hotspot,9,3,"10,714",[],,57
186,tofu.js,8,7,30,[],,73
187,beidou,43,36,608,"['isomorphic', 'server-rendered', 'es6', 'universal', 'ssr', 'server-side-rendering', 'node-framework', 'egg-framework', 'react-server-render', 'css-module', 'react-performance', 'enterprise-framework', 'auto-router']",1.0.0 (2018-03-23),2730
188,block-traces,1,0,11,[],,39
189,EasyReinforcementLearning,1,0,9,['rl-algorithms'],,152
190,lightproxy,67,3,649,"['electron', 'light', 'chrome', 'typescript', 'proxy', 'devtools', 'debug', 'whistle', 'lightproxy']",1.1.41,2706
191,MiniOptimizer,2,0,1,[],,17
192,tsar,2,0,408,[],,2375
193,fish-redux,5,5,486,"['redux', 'adapter', 'framework', 'reactive', 'component', 'functional-programming', 'aop', 'flutter']",,7293
